iter	RMSE
339	17973.9807
340	17944.89955
341	17927.48185
342	17898.09063
343	17876.16975
344	17853.82474
345	17845.97803
346	17817.01532
347	17798.76378
348	17776.36855
349	17773.24859
350	17755.96582
351	17746.00839
352	17732.13685
353	17706.01672
354	17691.14022
355	17678.28679
356	17658.74149
357	17647.61703
358	17632.98566
359	17594.89726
360	17577.44115
361	17555.90096
362	17539.92277
363	17529.45836
364	17504.52986
365	17491.95801
366	17474.1243
367	17460.71255
368	17441.19841
369	17422.59938
370	17401.68681
371	17383.47406
372	17366.14087
373	17360.52073
374	17357.47294
375	17338.70854
376	17327.66924
377	17310.0662
378	17292.0966
379	17275.74233
380	17261.81855
381	17239.44166
382	17228.37561
383	17211.1275
384	17199.65453
385	17183.85613
386	17173.46991
387	17153.75696
388	17142.28914
389	17133.01835
390	17129.13251
391	17113.89776
392	17103.81892
393	17087.55956
394	17079.07543
395	17058.45657
396	17035.86554
397	17022.14789
398	17008.24833
399	16998.64636
400	16984.94194
401	16971.61632
402	16961.73476
403	16947.11764
404	16929.91044
405	16905.02488
406	16892.99757
407	16890.14515
408	16873.87926
409	16856.09835
410	16845.80317
411	16825.60508
412	16805.78517
413	16795.91157
414	16785.91158
415	16768.92804
416	16757.68373
417	16745.42982
418	16730.40023
419	16724.31456
420	16708.79185
421	16694.66038
422	16688.94832
423	16672.87383
424	16667.68111
425	16663.79851
426	16659.56052
427	16656.13297
428	16652.61945
429	16641.8975
430	16637.26952
431	16627.58809
432	16613.75543
433	16610.3363
434	16595.17849
435	16571.11041
436	16558.17373
437	16549.57839
438	16542.22593
439	16527.44001
440	16513.45271
441	16489.94729
442	16474.00987
443	16465.84289
444	16451.09386
445	16447.43021
446	16436.33402
447	16421.59258
448	16399.48504
449	16387.33476
450	16375.01181
451	16356.78221
452	16353.32758
453	16349.99307
454	16338.53443
455	16327.13351
456	16313.1151
457	16300.43477
458	16297.85676
459	16276.17712
460	16266.45807
461	16255.40916
462	16243.73512
463	16232.28963
464	16214.08018
465	16211.14321
466	16208.15038
467	16194.73204
468	16181.87893
469	16172.94366
470	16162.93393
471	16160.60909
472	16146.32158
473	16138.10399
474	16124.11227
475	16116.24002
476	16113.30225
477	16108.87143
478	16099.3216
479	16092.02587
480	16079.46328
481	16068.59303
482	16057.54871
483	16049.05689
484	16037.04135
485	16033.7693
486	16025.41911
487	16013.21321
488	16001.22035
489	15990.82545
490	15979.77715
491	15970.1326
492	15957.40089
493	15954.57329
494	15944.34225
495	15933.70937
496	15924.21573
497	15911.64008
498	15902.55621
499	15888.39913
500	15885.44417
501	15865.09179
502	15860.77431
503	15853.65582
504	15844.80797
505	15821.57028
506	15819.02032
507	15809.04264
508	15795.38874
509	15788.42178
510	15770.60457
511	15760.17803
512	15747.78325
513	15737.48717
514	15722.3538
515	15711.26441
516	15686.3945
517	15665.9603
518	15664.31201
519	15654.78096
520	15647.28062
521	15635.15811
522	15633.5528
523	15607.30771
524	15595.48484
525	15585.40512
526	15570.76083
527	15563.54981
528	15549.52694
529	15540.5042
530	15533.50321
531	15527.04574
532	15519.25201
533	15517.33212
534	15507.86709
535	15503.40668
536	15501.53598
537	15494.73359
538	15484.18993
539	15465.97803
540	15460.75431
541	15449.97393
542	15441.20927
543	15427.11587
544	15423.1219
545	15401.0155
546	15395.06719
547	15376.80262
548	15375.27228
549	15360.39798
550	15353.88882
551	15339.78261
552	15329.2654
553	15319.95695
554	15296.63521
555	15285.75249
556	15281.63806
557	15265.88052
558	15259.0289
559	15240.23046
560	15238.35865
561	15222.50329
562	15213.75601
563	15211.97982
564	15210.25851
565	15198.69795
566	15188.99901
567	15177.20128
568	15169.22904
569	15158.4067
570	15151.03623
571	15149.3892
572	15144.90285
573	15143.31178
574	15130.40726
575	15124.10536
576	15113.68191
577	15107.94935
578	15100.49357
579	15089.73639
580	15080.87312
581	15065.07692
582	15043.94498
583	15029.73986
584	15020.58071
585	15018.08604
586	15009.15813
587	15001.05419
588	14987.97987
589	14977.9473
590	14969.6177
591	14968.32893
592	14960.22321
593	14950.05132
594	14941.82902
595	14925.48761
596	14912.78275
597	14911.29861
598	14893.02605
599	14882.87858
600	14880.6936
601	14869.5404
602	14853.17553
603	14840.16682
604	14829.75533
605	14828.54505
606	14813.69552
607	14807.23278
608	14805.77073
609	14799.58102
610	14795.22712
611	14781.93496
612	14773.03058
613	14766.62597
614	14754.61112
615	14735.69358
616	14732.34312
617	14724.4294
618	14713.36095
619	14703.15922
620	14694.02861
621	14682.6687
622	14676.72027
623	14660.86865
624	14650.60641
625	14649.18625
626	14647.8093
627	14646.44198
628	14633.54295
629	14620.77451
630	14616.70468
631	14599.45838
632	14598.12597
633	14595.99384
634	14585.9286
635	14584.61442
636	14575.22237
637	14555.70425
638	14551.73601
639	14548.59005
640	14535.70777
641	14534.44792
642	14524.52365
643	14514.31969
644	14504.08142
645	14498.06262
646	14492.13806
647	14482.986
648	14474.84396
649	14460.56023
650	14457.27234
651	14450.22889
652	14442.00557
653	14439.99673
654	14433.88811
655	14432.64373
656	14423.40587
657	14410.67896
658	14408.14131
659	14405.21956
660	14399.31618
661	14397.93205
662	14392.213
663	14381.00015
664	14378.28966
665	14368.77433
666	14366.08089
667	14353.79197
668	14351.09623
669	14335.3882
670	14329.11021
671	14320.85333
672	14310.63845
673	14303.0576
674	14301.77052
675	14296.32526
676	14295.11192
677	14293.81267
678	14281.75337
